region;ålder;år;Folkmängd
0139 Upplands-Bro;totalt ålder;2012;24353
0139 Upplands-Bro;totalt ålder;2013;24703
0139 Upplands-Bro;totalt ålder;2014;25287
0139 Upplands-Bro;totalt ålder;2015;25789
0139 Upplands-Bro;totalt ålder;2016;26755
0139 Upplands-Bro;totalt ålder;2017;27614
0139 Upplands-Bro;totalt ålder;2018;28756
0140 Nykvarn;totalt ålder;2008;9035
0140 Nykvarn;totalt ålder;2009;9227
0140 Nykvarn;totalt ålder;2010;9331
0140 Nykvarn;totalt ålder;2011;9331
0140 Nykvarn;totalt ålder;2012;9442
0140 Nykvarn;totalt ålder;2013;9523
0140 Nykvarn;totalt ålder;2014;9815
0140 Nykvarn;totalt ålder;2015;10192
0140 Nykvarn;totalt ålder;2016;10424
0140 Nykvarn;totalt ålder;2017;10660
0140 Nykvarn;totalt ålder;2018;10923
0160 Täby;totalt ålder;2008;62266
0160 Täby;totalt ålder;2009;63014
0160 Täby;totalt ålder;2010;63789
0160 Täby;totalt ålder;2011;64558
0160 Täby;totalt ålder;2012;65364
0160 Täby;totalt ålder;2013;66292
0160 Täby;totalt ålder;2014;67334
0160 Täby;totalt ålder;2015;68281
0160 Täby;totalt ålder;2016;69386
0160 Täby;totalt ålder;2017;70405
0160 Täby;totalt ålder;2018;71397
0162 Danderyd;totalt ålder;2008;30851
0162 Danderyd;totalt ålder;2009;31150
0162 Danderyd;totalt ålder;2010;31330
0162 Danderyd;totalt ålder;2011;31799
0162 Danderyd;totalt ålder;2012;31960
0162 Danderyd;totalt ålder;2013;32222
0162 Danderyd;totalt ålder;2014;32295
0162 Danderyd;totalt ålder;2015;32421
0162 Danderyd;totalt ålder;2016;32653
0162 Danderyd;totalt ålder;2017;32888
0162 Danderyd;totalt ålder;2018;33187
0163 Sollentuna;totalt ålder;2008;62097
0163 Sollentuna;totalt ålder;2009;63347
0163 Sollentuna;totalt ålder;2010;64630
0163 Sollentuna;totalt ålder;2011;65891
0163 Sollentuna;totalt ålder;2012;66859
0163 Sollentuna;totalt ålder;2013;68145
0163 Sollentuna;totalt ålder;2014;69325
0163 Sollentuna;totalt ålder;2015;70251
0163 Sollentuna;totalt ålder;2016;71023
0163 Sollentuna;totalt ålder;2017;71848
0163 Sollentuna;totalt ålder;2018;72528
0180 Stockholm;totalt ålder;2008;810120
0180 Stockholm;totalt ålder;2009;829417
0180 Stockholm;totalt ålder;2010;847073
0180 Stockholm;totalt ålder;2011;864324
0180 Stockholm;totalt ålder;2012;881235
0180 Stockholm;totalt ålder;2013;897700
0180 Stockholm;totalt ålder;2014;911989
0180 Stockholm;totalt ålder;2015;923516
0180 Stockholm;totalt ålder;2016;935619
0180 Stockholm;totalt ålder;2017;949761
0180 Stockholm;totalt ålder;2018;962154
0181 Södertälje;totalt ålder;2008;84753
0181 Södertälje;totalt ålder;2009;85270
0181 Södertälje;totalt ålder;2010;86246
0181 Södertälje;totalt ålder;2011;87685
0181 Södertälje;totalt ålder;2012;89473
0181 Södertälje;totalt ålder;2013;91072
0181 Södertälje;totalt ålder;2014;92235
0181 Södertälje;totalt ålder;2015;93202
0181 Södertälje;totalt ålder;2016;94631
0181 Södertälje;totalt ålder;2017;96032
0181 Södertälje;totalt ålder;2018;97381
0182 Nacka;totalt ålder;2008;85661
0182 Nacka;totalt ålder;2009;88085
0182 Nacka;totalt ålder;2010;90108
0182 Nacka;totalt ålder;2011;91616
0182 Nacka;totalt ålder;2012;92873
0182 Nacka;totalt ålder;2013;94423
0182 Nacka;totalt ålder;2014;96217
0182 Nacka;totalt ålder;2015;97986
0182 Nacka;totalt ålder;2016;99359
0182 Nacka;totalt ålder;2017;101231
0182 Nacka;totalt ålder;2018;103656
0183 Sundbyberg;totalt ålder;2008;36079
0183 Sundbyberg;totalt ålder;2009;37722
0183 Sundbyberg;totalt ålder;2010;38633
0183 Sundbyberg;totalt ålder;2011;39539
0183 Sundbyberg;totalt ålder;2012;40793
0183 Sundbyberg;totalt ålder;2013;42626
0183 Sundbyberg;totalt ålder;2014;44090
0183 Sundbyberg;totalt ålder;2015;46110
0183 Sundbyberg;totalt ålder;2016;47750
0183 Sundbyberg;totalt ålder;2017;49424
0183 Sundbyberg;totalt ålder;2018;50564
0184 Solna;totalt ålder;2008;65289
0184 Solna;totalt ålder;2009;66909
0184 Solna;totalt ålder;2010;68144
0184 Solna;totalt ålder;2011;69946
0184 Solna;totalt ålder;2012;71293
0184 Solna;totalt ålder;2013;72740
0184 Solna;totalt ålder;2014;74041
0184 Solna;totalt ålder;2015;76158
0184 Solna;totalt ålder;2016;78129
0184 Solna;totalt ålder;2017;79707
0184 Solna;totalt ålder;2018;80950
0186 Lidingö;totalt ålder;2008;43111
0186 Lidingö;totalt ålder;2009;43445
0186 Lidingö;totalt ålder;2010;44017
0186 Lidingö;totalt ålder;2011;44081
0186 Lidingö;totalt ålder;2012;44434
0186 Lidingö;totalt ålder;2013;45178
0186 Lidingö;totalt ålder;2014;45465
0186 Lidingö;totalt ålder;2015;46302
0186 Lidingö;totalt ålder;2016;46853
0186 Lidingö;totalt ålder;2017;47185
0186 Lidingö;totalt ålder;2018;47818
0187 Vaxholm;totalt ålder;2008;10747
0187 Vaxholm;totalt ålder;2009;11001
0187 Vaxholm;totalt ålder;2010;10965
